index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
0,13-14,1,Bayern München,Bor. Mönchengladbach,3,1,2,1,26,11,118.81,118.53,635,436,585,359,50,77,0.92,0.82,0.59,0.41,0.53,0.47,12,11,9,11,3,3,6,4
1,13-14,1,TSG Hoffenheim,1. FC Nürnberg,2,2,1,0,23,12,116.01,113.39,409,352,315,259,94,93,0.77,0.74,0.53,0.47,0.49,0.51,17,16,16,17,5,4,6,9
2,13-14,1,Bayer 04 Leverkusen,SC Freiburg,3,1,1,1,18,8,113.9,118.93,405,481,319,392,86,89,0.79,0.81,0.46,0.54,0.61,0.39,10,15,15,10,2,3,5,2
3,13-14,1,Hannover 96,VfL Wolfsburg,2,0,1,0,20,15,108.94,103.15,409,403,351,323,58,80,0.86,0.8,0.5,0.5,0.44,0.56,28,11,11,27,1,4,7,2
4,13-14,1,FC Augsburg,Borussia Dortmund,0,4,0,1,11,13,110.61,112.78,402,516,290,424,112,92,0.72,0.82,0.45,0.55,0.48,0.52,18,12,12,18,0,3,5,6
5,13-14,1,Hertha BSC,Eintracht Frankfurt,6,1,2,1,16,11,112.32,107.03,330,491,266,406,64,85,0.81,0.83,0.4,0.6,0.44,0.56,19,18,18,17,3,2,5,4
6,13-14,1,Eintracht Braunschweig,Werder Bremen,0,1,0,0,13,12,115.32,114.69,395,458,296,356,99,102,0.75,0.78,0.46,0.54,0.5,0.5,11,17,17,10,4,1,2,7
7,13-14,1,1. FSV Mainz 05,VfB Stuttgart,3,2,1,1,10,18,119.61,117.72,442,473,358,378,84,95,0.81,0.8,0.48,0.52,0.48,0.52,15,13,13,14,7,1,2,8
8,13-14,1,FC Schalke 04,Hamburger SV,3,3,2,2,19,16,114.6,119.07,532,389,433,295,99,94,0.81,0.76,0.58,0.42,0.49,0.51,15,11,10,12,0,4,3,7
9,13-14,2,VfB Stuttgart,Bayer 04 Leverkusen,0,1,0,1,18,13,119.09,121.79,462,357,385,274,77,83,0.83,0.77,0.57,0.43,0.52,0.48,13,15,15,13,3,1,10,3
10,13-14,2,VfL Wolfsburg,FC Schalke 04,4,0,0,0,23,6,114.89,113.25,426,408,358,330,68,78,0.84,0.81,0.52,0.48,0.53,0.47,18,16,16,18,3,2,11,3
11,13-14,2,Werder Bremen,FC Augsburg,1,0,1,0,5,20,117.12,115.79,295,445,211,360,84,85,0.72,0.81,0.4,0.6,0.51,0.49,17,15,15,16,4,5,3,7
12,13-14,2,SC Freiburg,1. FSV Mainz 05,1,2,0,0,9,13,117.48,113.79,556,388,458,310,98,78,0.82,0.8,0.58,0.42,0.52,0.48,17,7,7,16,1,4,2,4
13,13-14,2,Hamburger SV,TSG Hoffenheim,1,5,1,1,8,18,110.45,117.42,486,346,394,268,92,78,0.81,0.77,0.58,0.42,0.61,0.39,15,22,21,14,1,1,2,4
14,13-14,2,Eintracht Frankfurt,Bayern München,0,1,0,1,9,17,114.49,114.95,285,725,209,661,76,64,0.73,0.91,0.3,0.7,0.52,0.48,9,17,17,9,7,1,6,5
15,13-14,2,Bor. Mönchengladbach,Hannover 96,3,0,1,0,17,16,114.0,113.14,646,418,559,335,87,83,0.87,0.8,0.6,0.4,0.57,0.43,10,19,18,10,2,3,1,3
16,13-14,2,1. FC Nürnberg,Hertha BSC,2,2,1,0,11,12,108.06,106.97,354,363,295,292,59,71,0.83,0.8,0.5,0.5,0.58,0.42,16,17,17,15,0,7,4,5
17,13-14,2,Borussia Dortmund,Eintracht Braunschweig,2,1,0,0,24,8,119.12,121.59,742,292,638,203,104,89,0.86,0.7,0.71,0.29,0.57,0.43,8,12,12,8,2,1,4,3
18,13-14,3,Borussia Dortmund,Werder Bremen,1,0,0,0,32,7,115.35,112.93,540,354,433,248,107,106,0.8,0.7,0.6,0.4,0.45,0.55,14,13,12,14,4,2,7,2
19,13-14,3,Bayern München,1. FC Nürnberg,2,0,0,0,26,5,116.21,116.9,752,161,680,87,72,74,0.9,0.54,0.8,0.2,0.48,0.52,13,9,9,13,2,3,10,1
20,13-14,3,Bayer 04 Leverkusen,Bor. Mönchengladbach,4,2,2,0,19,10,117.89,116.07,448,662,384,589,64,73,0.86,0.89,0.41,0.59,0.53,0.47,10,14,13,10,2,1,7,3
21,13-14,3,Hannover 96,FC Schalke 04,2,1,2,0,14,9,104.85,103.02,400,290,321,218,79,72,0.8,0.75,0.58,0.42,0.56,0.44,19,23,23,18,2,4,7,1
22,13-14,3,TSG Hoffenheim,SC Freiburg,3,3,2,2,15,12,106.97,112.12,361,422,285,340,76,82,0.79,0.81,0.47,0.53,0.55,0.45,15,23,22,14,5,3,2,4
23,13-14,3,1. FSV Mainz 05,VfL Wolfsburg,2,0,0,0,12,16,118.67,111.96,393,517,336,448,57,69,0.85,0.87,0.43,0.57,0.49,0.51,16,15,14,16,2,3,2,5
24,13-14,3,Hertha BSC,Hamburger SV,1,0,0,0,16,15,117.48,116.34,356,368,269,278,87,90,0.76,0.76,0.48,0.52,0.51,0.49,16,18,18,14,2,0,6,9
25,13-14,3,Eintracht Braunschweig,Eintracht Frankfurt,0,2,0,0,9,20,114.12,108.54,322,515,215,390,107,125,0.67,0.76,0.39,0.61,0.47,0.53,12,18,14,11,3,2,2,8
26,13-14,3,FC Augsburg,VfB Stuttgart,2,1,2,1,17,9,114.41,107.88,287,388,210,292,77,96,0.73,0.75,0.44,0.56,0.51,0.49,19,18,18,19,1,0,8,7
27,13-14,4,SC Freiburg,Bayern München,1,1,0,1,8,17,127.5,118.1,272,784,187,689,85,95,0.69,0.88,0.27,0.73,0.48,0.52,17,10,10,16,2,1,3,6
28,13-14,4,Bor. Mönchengladbach,Werder Bremen,4,1,1,0,20,10,117.41,117.52,619,449,546,388,73,61,0.88,0.86,0.57,0.43,0.59,0.41,13,13,12,13,2,1,1,5
29,13-14,4,Hannover 96,1. FSV Mainz 05,4,1,2,1,16,13,112.74,112.77,370,487,291,415,79,72,0.79,0.85,0.44,0.56,0.43,0.57,19,10,9,19,0,2,5,3
30,13-14,4,VfL Wolfsburg,Hertha BSC,2,0,2,0,18,8,119.32,116.14,591,318,509,236,82,82,0.86,0.74,0.64,0.36,0.49,0.51,16,15,13,16,3,1,2,2
31,13-14,4,1. FC Nürnberg,FC Augsburg,0,1,0,0,7,25,113.01,117.93,397,342,303,260,94,82,0.76,0.76,0.52,0.48,0.59,0.41,10,17,16,10,1,2,2,12
32,13-14,4,Hamburger SV,Eintracht Braunschweig,4,0,2,0,28,16,114.95727272727272,117.885,337,286,261,194,76,92,0.77,0.68,0.54,0.46,0.54,0.46,19,22,22,17,0,4,7,2
33,13-14,4,FC Schalke 04,Bayer 04 Leverkusen,2,0,1,0,12,11,115.64,115.45,454,465,363,375,91,90,0.8,0.81,0.49,0.51,0.49,0.51,14,17,14,11,4,1,2,6
34,13-14,4,VfB Stuttgart,TSG Hoffenheim,6,2,3,1,13,12,117.9,113.98,397,455,281,346,116,109,0.71,0.76,0.46,0.54,0.46,0.54,20,20,19,20,1,1,3,5
35,13-14,4,Eintracht Frankfurt,Borussia Dortmund,1,2,1,1,17,16,115.57,121.28,400,416,279,319,121,97,0.7,0.77,0.5,0.5,0.56,0.44,6,19,16,5,2,3,8,6
36,13-14,5,Hertha BSC,VfB Stuttgart,0,1,0,0,19,8,120.68,124.9,550,363,463,283,87,80,0.84,0.78,0.59,0.41,0.61,0.39,13,13,13,12,1,3,7,4
37,13-14,5,Bayern München,Hannover 96,2,0,0,0,19,12,117.7,118.46,640,306,554,231,86,75,0.87,0.75,0.67,0.33,0.5,0.5,14,13,12,14,0,1,13,4
38,13-14,5,Bayer 04 Leverkusen,VfL Wolfsburg,3,1,1,1,14,14,113.89,114.66,341,413,265,354,76,59,0.78,0.86,0.46,0.54,0.48,0.52,18,12,12,18,3,2,4,3
